flightId,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,duration,days_left,price
252589,Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,13.25,46,69244
223754,Vistara,UK-927,Delhi,Morning,one,Evening,Chennai,10.42,31,52392
243398,Vistara,UK-988,Mumbai,Night,one,Morning,Chennai,13,28,61933
208360,Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,12.67,17,53164
247226,Vistara,UK-854,Bangalore,Evening,one,Morning,Delhi,13.67,32,42521
293881,Vistara,UK-822,Chennai,Morning,one,Morning,Bangalore,23.08,11,44144
254119,Vistara,UK-814,Bangalore,Night,one,Evening,Kolkata,22.42,21,62188
272356,Vistara,UK-772,Kolkata,Morning,one,Early_Morning,Hyderabad,21.42,45,49207
271143,Vistara,UK-778,Kolkata,Afternoon,one,Afternoon,Hyderabad,21.25,20,62255
256513,Vistara,UK-850,Bangalore,Evening,one,Night,Hyderabad,25,11,37985
280517,Vistara,UK-876,Hyderabad,Night,one,Night,Bangalore,25.25,7,38099
286704,Vistara,UK-874,Hyderabad,Morning,one,Morning,Chennai,24.33,31,41314
221505,Air_India,AI-544,Delhi,Evening,zero,Evening,Hyderabad,2.08,44,23944
292252,Vistara,UK-838,Chennai,Night,one,Evening,Mumbai,22,31,57393
254481,Air_India,AI-640,Bangalore,Early_Morning,one,Afternoon,Kolkata,29.42,27,51817
266397,Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,10.83,36,50271
213686,Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,6.58,23,42457
282816,Vistara,UK-870,Hyderabad,Night,one,Evening,Bangalore,22.42,46,56702
216999,Vistara,UK-705,Delhi,Early_Morning,zero,Morning,Kolkata,2.08,19,27976
274827,Air_India,AI-515,Hyderabad,Morning,one,Afternoon,Delhi,6.33,4,44583
237058,Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Kolkata,13.08,38,57565
287014,Air_India,AI-541,Hyderabad,Evening,one,Night,Chennai,7.33,37,51595
210751,Air_India,AI-678,Delhi,Morning,zero,Morning,Mumbai,2.25,39,22152
294642,Air_India,AI-766,Chennai,Early_Morning,one,Night,Bangalore,13.83,25,44546
295147,Vistara,UK-822,Chennai,Morning,one,Night,Bangalore,13.08,35,44144
255546,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Kolkata,10.08,43,60508
300091,Vistara,UK-838,Chennai,Night,one,Evening,Hyderabad,22.75,48,51457
213499,Vistara,UK-807,Delhi,Night,zero,Night,Bangalore,2.67,21,32859
